LegalDescription,TownshipRange,Township,Range,Section,County,Created,Modified,Modified By,TownshipRange,DocumentName,ID
"<font color=""%23000000"">SECTIONS 13 AND 24, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 13 AND 24</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030982CD.pdf","1"
"<font color=""%23000000"">SECTIONS 13 AND 24, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 13 AND 24</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030982CE.pdf","2"
"<font color=""%23000000"">SECTIONS 13 AND 24, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 13 AND 24</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030982CF.pdf","3"
"<font color=""%23000000"">SECTIONS 13 AND 24, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 13 AND 24</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030982D0.pdf","4"
"<font color=""%23000000"">SECTIONS 13 AND 24, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 13 AND 24</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030982D1.pdf","5"
"<font color=""%23000000"">SECTIONS 29 AND 32, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 29 AND 32</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","03098F98.pdf","6"
"<font color=""%23000000"">SECTIONS 29 AND 32, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 29 AND 32</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030993C5.pdf","7"
"<font color=""%23000000"">SECTIONS 29 AND 32, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 29 AND 32</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030993C6.pdf","8"
"<font color=""%23000000"">SECTION 29, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 29</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030993C7.pdf","9"
"<font color=""%23000000"">SECTION 29, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 29</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","03099DE9.pdf","10"
